#{"t_start": 1708878562.1385813, "env_id": "None"}
r,l,t
-423.05948,191,29270.836319
-351.13596,146,29309.955758
-366.0342,159,29425.434671
-503.49725,265,29464.549321
-326.64105,167,29507.252614
-588.0916,299,29507.252614
-407.4713,178,29969.076586
-370.8913,188,30014.560924
-370.8913,188,30014.560924
-370.8913,188,30014.560924
-370.8913,188,30014.560924
-370.8913,188,30014.560924
-370.8913,188,30014.560924
-370.8913,188,30014.560924
-337.27356,159,30419.38549
-387.45193,164,30453.719347
-444.15616,234,30636.942703
-523.2549,262,30733.327776
-506.67044,263,30753.633142
-556.9243,305,30871.786086
-620.7883,324,30936.532196
-705.8893,396,31109.955376
-305.9392,156,31210.303192
-338.19595,172,31268.176266
-552.8341,299,31345.592123
-327.95795,160,31449.3504
-373.70395,174,31550.303875
-489.19608,252,32188.89232
-489.19608,252,32188.89232
-489.19608,252,32188.89232
-489.19608,252,32188.89232
-489.19608,252,32188.89232
-489.19608,252,32188.89232
-489.19608,252,32188.89232
-546.4276,270,32255.775005
-426.18826,208,32748.478835
-437.00623,221,32867.621994
-435.80316,225,32964.476898
-517.2021,242,33028.325415
-487.3587,247,33062.861752
-524.97034,250,33147.033911
-591.3447,287,33216.690638
-581.6083,290,33245.962012
-246.3189,129,33453.573472
